asin	question	answer	category	imUrl	reviews	annotation_score
B00EFJMSWA	  How big is this sofa? 	  Seating is interchangeable, so depends how you want it set up. My setup is 4 seats across the back x 1 ottoman, 4 seats is approx. 12ft - the picture shown is 3 x 2 setup. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/5141hJglswL._SY300_.jpg	"['Great quality, sturdy.', 'Decent quality for the price I would Recomend it Love it...!!', 'The cushions are thick and firm and the color is amazing.', 'This sofa sectional is totally stunning!', 'I wish that they sold plastic covers so I could keep the cushions nice looking for as long as possible.', 'But still beautiful.', 'The cushions seem pretty durable and it is comfortable.', 'The entire neighborhood has remarked on how pretty it is setting poolside.', ""We just received this Beautiful Set and couldn't be happier."", 'We are so completely happy with this purchase!', 'Highly recommend this set,', 'I just love this set.', 'I would highly recommend this set.', 'I am just having a hard time keeping my cat off of it.', 'It is so comfortable and extremely versatile.', 'this outdoor patio set is beautiful', 'great quality sturdy', 'i would say that the color is less green and more blue than how it appears in the photo']"	[[0, 1, 3], [1, 0, 0], [2, 1, 1], [0, 1, 0], [0, 1, 0], [1, 0, 0], [0, 1, 1], [1, 0, 0], [1, 0, 0], [0, 1, 0], [1, 0, 0], [0, 1, 1], [0, 0, 0], [0, 1, 0], [1, 3, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0]]
B00B5Z5DA6	  Hi can any one say if the flex hose is worth buying 	  It is not worth buying! I purchased 2 of the rough terrain hoses (which cost 10.00 per hose more) and received 2 free and I was absolutely stunned when all of them busted before the summer was over. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41OIjKqRxzL._SY300_.jpg	"['The flexi hose itself worked fine.', 'The hose was not at all worth the money.', 'Hoping someone out there will develop a better hose with same benefits.', 'I called immediately and they offered to send replacement hoses.', 'Good luck if you purchased this product thru the Flexable Hose company!', ""This hose has it's uses but can not replace a standard hose in many cases."", 'Hose bib connection fitting to hose leaks profusely after 6 uses.', 'ALSO MY SPRAY NOZZLE DIDNT WORK ON THIS HOSE.', '**Warning** Do not buy a Flexable Hose!!!', 'I currently am trying the X-Hose Pro (black) which has brass fittings and is a larger diameter hose, and is much heavier duty.', 'Flexable hose offers a 60-day guarantee & am assuming when they finally get this latest package back & processed, the sixty days will have expired.', 'Well hopefully someone will come up with a quality version of these hoses or at least build them so that they can be repaired.', '.Also the price was much cheaper than the other places it was sold Flex-Able Hose:  We ordered 16 of these in varying lengths for Christmas last year.', 'Not sure about other brands, but STAY AWAY form Flex-Able Hose This product is  an &#34;as seen on TV&#34; product because no big box store wants the headaches of returns.', 'Not worth it.', 'Not worth the money for a few weeks of use.', 'the hose does expand when water is in the hose but when you spray the water out the hose contracts a bit so it is not as long as you might like it', 'also the shut off at the male end of the hose broke the first time i used the hose very cheap', 'used this hose for a couple of weeks and then the hose gave way and leaks like a sieve', 'i got rid of an old heavy hose with a rusted reel and substituted the shrinking hose', 'this product works as advertised it is light weight grows when water pressure is applied and shrinks drains when water pressure is removed', 'i guess its fine to hose off a small porch or fill a water pot to water flowers but if you need pressure for any reason cleaning distance etc forget it', 'the down side is that once it is pressurized it grows until the pressure is released water allowed to flow and then the hose starts to shrink', 'the hose kept losing pressure and you would continually have to start and stop the water in order to keep a good flow']"	[[2, 2, 1], [3, 3, 3], [0, 2, 2], [1, 1, 0], [1, 1, 1], [3, 1, 2], [1, 2, 2], [0, 1, 1], [3, 3, 2], [1, 2, 1], [0, 2, 2], [2, 0, 3], [1, 2, 2], [3, 2, 3], [2, 3, 3], [3, 0, 3], [2, 0, 1], [1, 2, 2], [3, 2, 2], [1, 1, 0], [2, 3, 0], [1, 3, 3], [2, 1, 3], [2, 2, 1]]
B00C55D3EI	  Is the cabinet closed or open in the back? 	  Where u store the tank is closed. Above that there is a 4 inch opening to take out the the grease tray to clean. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41BW8NntWTL._SY300_.jpg	"['The door hides the tank.', 'Unfortunately I had no access to it.', 'The fire box itself was completely assembled.', 'Access to the tank is easy and through the door on the front.', ""There is a lock washer installed, but it's completely flattened out, meaning it's lost it's &#34;springiness&#34; or &#34;lock&#34; rather..."", 'Love the grease catcher below the drain pan!', 'The screw on the left side separated from the acorn nut that is on the inside while the meat was cooking.', 'Also, two of the casters are lockable as well.', 'In addition, the Grill had missing screws, broken utensil holder knob, dented and scratched surface areas.', 'And yes, there is no side burner.', ""The illustration doesn't show which is which."", ""There's only two things that bothered me about this grill.1 - the back is way hotter than the front."", 'Te heat distribution is hotter in the back but what grill isnt?', 'It had to have been packed this way.', ""A little dinged up on arrival but overall for we like how it cooks and it's small but has plenty of room."", 'The screw had fallen out and gotten trapped in the edge of the left table, which was down.', 'Great cooking!', ""The heat isn't as even (The back gets hotter than the front) as I would have liked, but it's not that big of a deal."", 'The grill was exactly as expected.', 'unfortunately it is really difficult to keep the temperature below 450 f even with the lowest setting the temperature is uneven it is higher at the back of the grill i experienced two rather scary flareups nothing like that happened with my old weber grill', 'after this grill i will go back to the weber grill where quality certainly is consistent with the name and have grill last me another decade', 'as long as youre not an idiot and know how to tighten bolts properly this grill is extremely sturdy', 'the cover is good quality and is adjustable zips up to 3034 and works for this grill and can be unzipped up to 5034 wide to cover a larger grill', 'i bought the 3burner over the 2burner model because the grilling area is slightly bigger at 18x21 which is the same grilling area as the weber spirit e210', 'my biggest issue is that once assembled the unit fired up easily enough but the exterior of the grill got very hot including the steel side trays which for me is a safety issue', 'the quality of workmanship is very good and construction is sturdy', 'the gas grill is compact but the side tables are nice to put up when needed and down the rest of the time', 'grill is well made in my view much superior to the char broil equivalent and almost as good as the weber but costs less than half the price', 'but this grill gets hot quickly leaves great sear marks is cheap and does the job']"	[[1, 1, 3], [2, 1, 0], [1, 1, 0], [1, 1, 1], [0, 2, 0], [0, 0, 0], [0, 1, 1], [1, 0, 0], [1, 1, 0], [1, 0, 0], [0, 2, 1], [0, 0, 1], [0, 1, 0], [0, 0, 2], [0, 1, 0], [0, 0, 2], [0, 0, 1], [1, 0, 2], [1, 0, 1], [1, 0, 3], [2, 1, 1], [1, 0, 0], [1, 3, 3], [0, 1, 0], [0, 0, 1], [0, 0, 0], [0, 1, 2], [1, 0, 2], [0, 0, 1]]
B007PZBDIG	  can you fit a 80 inch diameter table and chairs 	  No. You could cover the table top but not the legs and not chairs. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41toTuW9L2L._SY300_.jpg	"[""I was surprised that It didn't fit all four chairs with the table, only 2!!"", 'This cover is sturdy and tough, and is a perfect fit for our round table and chairs.', ""I was afraid this cover wouldn't fit, or would leave a lot of the legs of the chairs and table exposed because of the product picture."", 'If your chairs stick out from table too much the cover will still go over all chairs but you may have to tilt chairs a little I was amazed that this cover was so nice for the money.', ""Fit isn't greAt."", 'Just be sure to measure first with chairs included.', 'However, it fit much better than expected (see my uploaded photo).', 'bought this for our patio set in the desert, and it is just perfect.', 'Good quality material and it covers my circular table plus two chairs with room for additional chairs.', 'It securely covers the table and all 4 chairs, stopping just short of the ground, which is what I was looking for.', 'I am satisfied with my patio table and chair cover.', 'The quality of this cover is great, but it came nowhere near covering my round table and four chairs.', 'I was able to scoot my chairs in tight and cover everything.', 'we cover the outdoor table so that our stray cats have a little shelter where they can play and eatthis works perfectly no leaks no snow gets underneath and they can sleep on these chairs during the day instead of being stuck in their outdoor house', 'this has worked out great i need to cover my retro brown jordon table and chairs i had restored', 'can cover bistro and smoker']"	[[1, 3, 1], [1, 2, 1], [0, 1, 2], [2, 3, 1], [3, 3, 2], [2, 2, 0], [1, 0, 1], [0, 1, 0], [1, 1, 2], [1, 0, 1], [1, 0, 1], [2, 3, 2], [1, 1, 0], [2, 0, 2], [0, 1, 2], [0, 1, 0]]
B003VPF9AW	  Hi there, do you think this tree will survive in long island, ny weather? 	  Hello , by the name , this plant came from the very cold area , I think it will be ok in yours. Try to grow at very sunny location where snow melts fast , and close to your house , the hit helps a lot and the first few years , try to cover it's trunk . Good luck . 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51DWQ60tc9L._SX300_.jpg	"[""I've heard from professionals that pomegranates do not fair well in humidity (we have a ton)."", ""Didn't do so hot here in Maryland in March."", ""Single digit temperatures can be the only culprit for killing it to the ground this past winter as we hadn't had any since I bought the tree."", 'However, the bush began growing again in April and flowered this year.', 'I live in zone 7 and I put the tree against my house in a nice hot corner facing south.', 'Everyone should be aware that these trees cannot handle single digit temperatures (at least not without having to cut it to the ground and essentially start all over).', 'However, it had been growing nicely and I had high hopes for it this year.', ""Will follow Martha's directions and hope to be eating pomegrantes next season!"", 'I suspect too cool of a spring.', ""I don't know if they'll ripen or not by October (when it starts getting cold) but I was amazed it set fruit so soon."", 'Editing my review as of May 11, 2014- Tree did not flower last year although it had grown to around 6 feet and quite bushy.', 'I ordered this tree and planted it, and it still has not broken out of its dormant stage.', 'The tree arrived in great shape and the soil was still moist.', 'Unfortunately, I had to cut the tree back to the ground this year because no wood survived.', 'The tree arrived very quickly it is about 3 feet tall and dormant stage (winter) it seems to be very healthy and disease free!', 'Once the tree sprouts leaves I will try to post pictures of it.', ""Don't know if we will get flowers and fruit this year, but we are confident the plant will grow and thrive."", 'very detailed directions prior to order arrived as well as in with the packaging to ensure the plant would be cared for and planted correctly']"	[[2, 2, 0], [2, 2, 2], [2, 2, 1], [1, 1, 2], [1, 1, 1], [3, 3, 3], [3, 1, 0], [0, 0, 2], [2, 2, 1], [2, 0, 1], [1, 1, 2], [0, 3, 1], [0, 1, 0], [2, 1, 2], [1, 1, 1], [1, 1, 1], [2, 0, 3], [0, 1, 3]]
B00372RSX0	  What is the manufacturer warranty? 	  When I received the generator it would not start. The seller told me that it was not their problem and Amazon never responded to my complaint. I hired a small engine repair guy that found it was wired incorrectly which he repaired and it has been running as needed since repaired. I would recommend you buy one though a local dealer so you can take it back if there is a problem. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51JKW8UGHLL._SX300_.jpg	"['Update #3 - it is now 2014 and this generator continues to perform.', 'My use has dropped since the power company improved the local infrastructure, but we still find ourselves using it every six months or so.', 'After basically raising Hell with Amazon they got the shipper to deliver on Thursday.', ""I purchased the first model 30471 in 2010, It ran well and did it's job powering up my home."", 'I received my Generator in great time and was very pleased.', 'The generator shipped fast -- coming right on the minimum estimated arrival date.', 'I bought mine at Tractor Supply for $1,099.00.', 'I contacted amazon they said the generator was under warranty and CB was responsible .', 'The generator had no real use since October 2011 (although I do run it under load once a month and use fuel stabilizer).', 'Called Amazon on Thursday and was told it was scheduled for a Friday delivery by Pilot Shipping, again they had never contacted me.', 'Fuel gauge float was defective and did not work properly.', 'Bad mark for the company....', 'PLEASE RESPOND AS QUICK AS YOU CANRJS After waiting almost a month for it to come in stock Amazon finally shipped my 30471.', 'Buying on Amazon saved $200 from Home Depot prices + no sales tax!On another note, this unit can easily be converted to operate on alternate fuel sources such as natural gas but better to have an expert do that for you as opposed to learning via a Youtube video.', 'Fuel valve screen was made defective,some of the plastic molding filled 1/2 of screen.', 'I had one minor issue with my unit and BS customer service sent out the part that I received 3 days later.', 'I ran gen for 121 hours non stop just added gas works great I have a full elec house i ran everything like normel Great generator, Bought after multiple times losing power due to storms in NE area.', 'maybe the engine with pressure oil system is good but the rest of this generac is crap', 'the only thing you get with this generator is the oil and the starter battery', 'the frame paint is better the gas cap is vented through a hose no more vented gas on the tank around the gas cap', 'briggs 3047101 runs quieter better frame metal fuel valve with removeable bowl and filter screen key start easier to roll tires all outlets switches and buttons are weather protected you can call and get most warranted parts', 'with all the rust starting to creep on the metal fuel tank you should make sure to install a fuel filter on the gas line before your engine gets destroyed', 'engine is what youd expect from a better than average generator making company', 'this generator can power an entire house and at the fraction of the price of a larger generac generator', 'we can run plenty of lights run our ipads and laptops ration fridge and microwave run time and get by for at least 24 hours on batteries then we use the generator to recharge the battery bank', 'these generators are not designed for being dropped from a truck which can damage the engine mounts as has happened to my generator', 'fuel valve screen was made defectivesome of the plastic molding filled 12 of screen']"	[[3, 1, 0], [0, 2, 1], [2, 0, 1], [0, 2, 0], [0, 0, 0], [0, 0, 0], [0, 0, 1], [3, 2, 1], [0, 0, 0], [0, 0, 1], [0, 3, 1], [0, 0, 0], [0, 0, 0], [2, 0, 0], [1, 0, 0], [2, 0, 2], [1, 0, 1], [1, 0, 0], [1, 1, 0], [1, 1, 0], [1, 2, 0], [0, 1, 0], [1, 1, 0], [0, 1, 0], [1, 0, 0], [1, 0, 0], [0, 0, 2]]
B000VYB04U	  will this work as Rain Bird replacement (key33k) ? 	  In my experience, generally, a lot of the keys, parts, etc between Orbit, Hunter, and Rain Bird are interchangeable (there are always some differences). I am using the Orbit Key to work with a Rain Bird flush-out valve. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/313wUgK-lSL._SY300_.jpg	"['Can be used in with rainbirds also.', 'Construction similar and comparable to Rainbird unit.', 'I had a missing part and Amazon quickly remedied the problem with a replacement.', 'I would buy them again Unfortunately, I was unable to get the fitting to work with the coupler because it was too small.', 'Actually get no spray back on removal, unlike the tricky process I use to avoid spray with the Rainbird key.', 'A+ item would recommend It met my quality standards and the pricing was very good by comparison.', 'Had to file an angle on the key and it works only if inserted from one rather than both sides of the valve.', 'Works as described helps me save time and money on a daily basis and saves water.', 'These are great!', 'Very easy to use and very well built.', ""Can't find this item where I live without paying many times what it costs on Amazon."", 'Great product, well made, and easy to use.', 'just connect the brass coupler to the underground sprinkler female part for the coupler and connect the hose direct to the brass coupler and you are ready to complete your task', 'didnt realise when ordering that this wasnt same configuration as rainbird unit for rainbird valve', 'the build quality is nice and it would probabaly work nicely for the correct coupler', 'along with some additional attachments that i got locally it paid for itself in just one month']"	[[3, 2, 2], [3, 2, 1], [1, 1, 1], [1, 0, 1], [1, 0, 2], [2, 0, 0], [0, 3, 0], [1, 2, 1], [0, 3, 2], [0, 0, 0], [0, 1, 0], [0, 0, 0], [1, 0, 2], [3, 2, 3], [1, 3, 0], [1, 1, 0]]
B007BVKDZI	  I want to use this on my balcony does it have a bottom? 	  Yes it does but it might be too heavy for a balcony you may want to use the pots. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/51OoT%2BqUspL._SY300_.jpg	"['I like that there is a bottom to the bag to deter creatures burrowing from below.', 'Should I cut a hole in the bottom?', ""I don't like those fabric 'pots' (this is a fabric 'bed') that is unnecessarily so tall and wasteful of soil....THIS is perfect."", 'Very happy with this item.', 'I cut a hole in the bottom and wrapped it around a lamp post in my front year, then easily planted a number of annuals and perennials.', 'I put one of those little fence things around the top edge  to discourage rabbits and critters.', 'This item is great!', 'The aerated roots thrive; the cinder at the bottom provides drainage, and harvesting is comfortable and gratifying.', 'It may look dry on top, but often times it is still moist below the surface.', 'Perfect if you only have a small place.', ""It's too shallow."", 'It did present some challenges in filling it up, as the sides kept falling in.', 'You just need a level spot to sit it on.', 'I also love it because I am not having to get down on my knees to work in it.', '(Non if the weather would break so I can use it.', 'It is perfect.', 'I put this on my patio and filled it with 12 cubic feet of soil.', 'love that i could plant a large garden without back breaking tilling and weeding no weeds in this contained garden and its large enough to actually allow the vegetables to grow fruit', 'i purchased this smart pot because plant do not do well in the area that i have to plant in', 'this medium size bag works perfectly with several drought tolerant plants', 'i was able to plant 14 total plants 5 compact tomato plants and 9 standard cucumber plants', 'i really didnt want to eat anything grown in this soil', 'it is deep enough for good root systems and big enough that i have planted 4 lettuce plants a pineapple sage plant 4 swiss chard plants', 'i used premium handmixed soil and was careful not to over or under water however even after a good down pour the water would not retain well and i put stuff in the soil to make water retention good tooit really dried out fast', 'it wasnt deep enough to successfully grow the plants we wanted to grow', 'i started my bed last week with a mix of compost garden soil and potting soil mix', 'we just put it on the ground over the grass and didnt prep anything']"	[[3, 3, 3], [0, 1, 1], [0, 1, 0], [1, 2, 1], [3, 1, 2], [0, 1, 1], [0, 0, 0], [3, 2, 0], [1, 0, 2], [3, 2, 2], [0, 0, 2], [2, 2, 0], [3, 1, 1], [0, 2, 0], [0, 0, 1], [0, 1, 0], [2, 1, 1], [1, 1, 1], [0, 1, 1], [0, 0, 3], [0, 0, 0], [1, 0, 0], [0, 3, 0], [0, 1, 0], [2, 0, 2], [0, 0, 1], [0, 1, 2]]
B004HB9PXQ	  can you helpme find the pulley for the RZ5424 that makes the mower move? 	  Well did you push the handles back in that engage the transmission? Those are disengaged during shipping, so you can push the mower around as needed. You need to put the handles back in or you won't be able to go once you start the engine. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41sR8ZTHWYL._SX300_.jpg	"['I have replaced the idler arm pulley, one belt and the blade drive pulley to date.', 'After ordering the wrong spring and having to place the order again, A1 Rental presumed I would have to pay for the warranty part and wait for Husqvarna to reimburse me.', ""I've just had to order an idler pulley for the deck because it spins out and throws the belt off."", 'This tensions a pulley that enables the drive wheels to move the mower.', 'The right rear wheel will not engage.', 'The tire had to be replaced with the rim and all four lug bolts.', 'Was fixed under warranty, but I had to find a different mower for the rest of the summer/fall season as a replacement was not covered.', 'I thought when I purchased this that Husqvarna represented a good quality zero turn mower.', 'Amazon customer service was willing to replace, but we contacted Husqvarna and got terrible customer service.', 'I went to Tractor Supply and bout a more aggressive tire and it climbs steep hills like a champ now (even on dew a dew-covered lawn).', 'I have owned the Husqvarna RZ5424 for about 2 years now and mow 3 yards about 4 acres per week.', 'At the end of my day one of the bolts holding a pulley came lose and fell off.', 'Called Husquvarna who was not helpful and suggested I call their local authorized repair shop.', ""The weld on the deck broke in late June and I didn't get the mower back until late August."", 'Shortly after getting the mower back one of the spindles broke.', ""I replied that I was under the impression that it was Husqvarna's responsibility to deliver a product to the buyer that actually worked."", 'I read a lot of positive reviews about this mower, and decided to go with it.', 'the mower is a good design overall and has solid power and speed with the 24 hp engine', 'upon using the mower 4 more times this summer may 2014 the engine plate spring broke', 'the spot welded sheetmetel that forms the separate blade compartments came loose and jammed the blades', 'purchased this mower june 2013']"	[[1, 0, 3], [1, 0, 0], [1, 0, 1], [0, 2, 0], [2, 0, 0], [0, 1, 1], [0, 0, 0], [0, 0, 0], [0, 2, 0], [3, 1, 0], [3, 0, 2], [0, 0, 1], [2, 0, 3], [0, 1, 0], [2, 0, 1], [1, 0, 0], [0, 1, 0], [1, 3, 1], [1, 1, 0], [0, 0, 3], [2, 1, 0]]
B0015Z3N3U	  Is this petroleum or synthetic oil? 	  It's synthetic and it's been very good to my trimmer and blower. 	Patio_Lawn_and_Garden	http://ecx.images-amazon.com/images/I/41x161UCF%2BL._SY300_.jpg	"['I use Tanaka and Poulan oil exclusively and have not worn out a chain saw yet in over fifty years.', 'the recommended oil for machines .', 'Mizes with premium gas as well as regular and runs strong on both.', 'Good oil, minimises smoke.', 'This product makes mixing gas and oil very easy.', 'Plus the bottle makes for neat and clean fuel mixes.', 'Also the dark blue color of this oil dyes the mixed fuel more noticeably than some other oils.', 'My hitachi trimmer seems to like it and I mixed one gallon at the beginning of the mowing season and still have over a quarter gallon left.', 'Besides the good oil quality, this product gives the resulting gas and oil mixture a bluish tint, which is really useful if you have tools that run on straight gas and some on mixed gas.', 'This oil is no smoke and I use it in all my 2 stroke engines uncluding chain saw, backpak blower.', 'Oil is oil, but the bottle this oil comes in is intelligently designed and very convenient.', 'Oil seems fine like everyone else says.', ""Not much to say, it's two stroke oil."", ""I've used this oil before and believe it to be of very high quality."", 'Which discerns it from straight gasoline easily.', 'This is a good oil and I bought it because of the self measurng bottle.', 'i will buy again , smokeless oil runs smooth .', 'the oil comes with its perfect mix measure so that you add just the right amount oil to your gas', 'combined with a one gallon gas tank this oil makes 2cycle operations a breeze', 'the oil is great but my favorite part of this product is how easy it makes measurement and pouring from the builtin measuring cup', 'this is good oil for your twostroke engine', 'i ordered this tanake oil measuring bottle and a grass trimmer which was missing the safety blade guard showed in the picture on internet', 'the bottom is angled and when you empty the bottle there is still a fair amount of oil at the bottom that wont squeeze up the straw', 'there is no information on the bottle for mix ration being used no oz scale and no info on what oil this is']"	[[0, 1, 2], [0, 0, 1], [3, 0, 2], [0, 2, 1], [3, 0, 3], [0, 0, 0], [2, 2, 1], [2, 1, 1], [1, 2, 1], [0, 2, 1], [2, 1, 1], [1, 3, 1], [1, 1, 1], [1, 1, 1], [1, 2, 3], [1, 1, 2], [1, 1, 1], [1, 2, 2], [1, 0, 1], [1, 0, 0], [1, 0, 1], [0, 0, 1], [1, 2, 1], [2, 2, 1]]
